State,County,Democratic,Republican,Party
MN,yellow medicine,0,5166,0
MN,pipestone,3192,7178,0
TX,somervell,1254,0,0
IN,benton,0,0,0
WV,hampshire,2511,658,0
PA,columbia,13677,15483,0
TX,ector,18050,26540,0
MD,howard,96728,66726,1
TN,jefferson,10520,13339,0
VA,manassas city,36310,3408,1
MN,scott,39249,41806,0
PA,northampton,65954,55854,0
TN,fentress,2508,1254,0
TN,dyer,9752,8237,0
WI,burnett,3262,3088,0
NJ,monmouth,144824,108057,1
IN,brown,4391,9278,0
TX,chambers,12635,11309,0
VA,roanoke city,32901,9574,1
NY,putnam,34504,42276,0
NM,san juan,22207,23077,0
WY,crook,0,5191,0
MI,ingham,64634,39967,1
TN,obion,7593,6865,0
PA,franklin,31972,32540,0
MT,lake,8626,2516,0
UT,cache,19812,20105,1
OH,fayette,5759,7639,0
VA,accomack,15911,0,0
FL,pasco,106235,74066,0
NY,nassau,303677,201074,1
ND,towner,1584,2718,0
IN,kosciusko,15954,19527,0
NE,colfax,16740,0,0
TX,frio,0,7182,1
MT,madison,4187,3525,0
WA,island,22094,22702,1
TX,andrews,0,13222,0
TN,hardin,4054,11296,0
NE,dundy,847,0,0
VA,chesapeake city,56318,39939,1
NE,hayes,19,0,0
TX,parmer,0,0,0
NE,buffalo,6794,14171,0
PA,carbon,14598,18827,0
NJ,atlantic,73888,38426,1
TX,kimble,0,12542,0
NE,seward,74,12996,0
OH,lake,53649,47214,0
TX,tom green,11719,21786,0
TX,mason,334,0,0
NV,humboldt,2963,11423,0
IN,noble,8368,8097,0
WI,dunn,6044,10409,0
NY,lewis,3766,5524,0
IN,orange,3059,1179,0
TN,crockett,5052,0,0
MT,beaverhead,2772,4991,0
MN,le sueur,5442,13336,0
MI,berrien,38988,23111,1
NY,otsego,13154,12887,0
TX,matagorda,2188,833,0
OH,marion,10342,17382,0
WI,washburn,4363,6045,0
TN,cocke,6347,7729,0
TX,orange,15821,16810,0
MT,yellowstone,31278,34992,0
MD,carroll,38226,48882,0
UT,wayne,0,0,0
WY,park,6316,18923,0
PA,pike,18536,15230,0
MI,lenawee,16273,20452,0
NJ,burlington,104086,79805,1
WI,iowa,4978,8106,0
PA,huntingdon,5763,9863,0
PA,berks,83608,67560,0
IN,knox,4426,10849,0
ND,ramsey,2167,10969,0
WA,klickitat,7253,9963,0
TX,howard,0,12828,0
MD,queen anne's,15086,30145,0
VA,buckingham,4436,0,0
VA,rockingham,19419,20433,0
IN,henry,6459,17119,0
CT,litchfield,47594,45036,0
PA,erie,59822,44436,1
NY,albany,75103,51026,1
PA,bucks,138922,108036,1
WI,buffalo,2431,1846,0
PA,mckean,6740,10203,0
NJ,cape may,22195,36310,0
TN,haywood,11889,0,1
PA,fulton,1125,3173,0
TX,jim wells,0,9699,1
TX,lee,2793,1847,0
TX,williamson,106720,79277,1
TN,knox,96088,70037,1
IN,putnam,3684,9884,0
OH,noble,0,12575,0
WY,big horn,0,0,0
MI,ionia,9182,13095,0
IN,daviess,1710,12246,0
VA,cumberland,5708,0,0
ME,waldo,11198,7579,0
TN,scott,0,5308,0
NE,stanton,818,3752,0
MN,sherburne,19474,27882,0
NE,boyd,0,0,0
NY,orleans,11206,8355,0
WI,vernon,3988,6996,0
WI,oconto,8704,9816,0
VA,louisa,13350,3998,0
ME,aroostook,20106,6713,0
FL,sumter,23978,48355,0
TX,newton,0,0,0
MN,cook,11274,3676,0
TX,brooks,0,4804,1
WY,hot springs,664,15351,0
MI,kalkaska,1886,4743,0
FL,levy,8499,741,0
WV,harrison,14018,20559,0
PA,butler,39741,42374,0
WI,price,6374,366,0
WI,shawano,9213,7678,0
TN,carter,11215,15447,0
NY,genesee,12685,14280,0
MT,missoula,21355,28316,1
NY,jefferson,18256,19193,0
MN,itasca,8757,11116,0
ND,williams,1492,26604,0
WY,sheridan,6723,16806,0
NE,garden,7481,0,0
TX,coleman,0,9725,0
ND,ward,10841,19279,0
OH,wood,24048,28282,1
WV,wirt,0,0,0
NE,box butte,0,11995,0
NM,los alamos,12159,46715,0
NY,bronx,320044,159202,1
NM,sierra,0,16974,0
FL,palm beach,311578,182556,1
TX,haskell,9726,4789,0
MI,midland,19797,23212,1
NE,blaine,0,0,0
VA,bedford,19212,17236,0
OH,paulding,1678,1446,0
UT,millard,1759,0,0
NJ,essex,193837,90217,1
TN,humphreys,1533,4115,0
UT,washington,28381,32847,0
TX,briscoe,0,0,0
TX,wise,12889,9450,0
FL,volusia,109027,74453,0
PA,schuylkill,28617,30671,0
TX,willacy,0,1033,1
CT,new london,62621,51771,1
TX,kinney,0,7065,1
NE,saline,8815,0,0
MI,tuscola,8408,8099,0
ND,slope,0,10369,0
TX,val verde,0,6929,1
WI,fond du lac,23738,23484,0
VA,powhatan,8383,14958,0
ND,richland,0,11317,0
VA,york,24969,33031,1
MN,dodge,2955,14236,0
TX,dickens,0,4011,0
FL,jefferson,8342,0,0
TX,titus,12466,0,0
MN,lyon,8780,4186,0
TX,hall,0,0,0
IN,spencer,2454,4454,0
WI,marquette,3949,3272,0
MI,allegan,22447,20022,0
ME,kennebec,27789,22109,0
TX,hidalgo,159438,98921,1
MD,montgomery,255860,144803,1
OH,wyandot,3663,8709,0
UT,summit,16992,30232,0
UT,rich,0,0,0
VA,clarke,6960,19224,0
NE,kearney,797,9050,0
PA,mifflin,8469,13260,0
MI,charlevoix,6534,12562,0
TX,walker,11270,0,0
NE,thurston,300,0,1
ND,traill,0,2701,0
IN,clinton,7008,6033,0
ME,sagadahoc,11790,15688,0
AZ,greenlee,0,4791,0
OH,meigs,2686,7102,0
VA,hanover,26508,35356,0
MT,chouteau,2784,0,0
WI,sauk,13512,17286,0
ND,mchenry,0,6036,0
TX,concho,13416,0,0
MN,todd,4384,3388,0
WV,mingo,2682,8468,0
MN,winona,9120,15637,0
VA,rockbridge,6881,11102,0
NY,rensselaer,37158,34578,0
MI,isabella,8912,8705,1
TX,wharton,1615,1286,0
MD,harford,59036,54565,0
OH,van wert,4133,11042,0
TX,madison,0,0,0
TN,anderson,18641,21083,0
NM,lincoln,1634,7173,0
NJ,morris,126763,95133,1
ND,oliver,0,11316,0
NE,wayne,0,8618,1
WA,asotin,4564,20478,0
WY,teton,15981,18372,0
TX,erath,3498,3945,0
VT,grand isle,9113,8910,0
OH,morrow,5148,7676,0
MN,kittson,1071,1493,0
NE,holt,2272,4684,0
VA,petersburg city,19729,0,1
WV,hancock,8816,13800,0
MN,redwood,3160,5624,0
MN,hennepin,264606,170422,1
TX,hansford,8147,0,0
NE,greeley,0,0,0
TX,rains,2116,5087,0
MA,worcester,177735,120294,1
UT,weber,46603,42424,0
TX,delta,0,0,0
VA,waynesboro city,9748,10492,0
ME,piscataquis,4997,1604,0
MT,petroleum,3020,0,0
WV,logan,5882,11747,0
TX,jefferson,61345,23885,1
VA,virginia beach city,103594,68120,1
IN,vermillion,2205,6173,0
MA,berkshire,32974,32025,1
VA,prince edward,4923,0,0
NE,sioux,1663,0,0
TX,presidio,14789,0,0
IN,jennings,2982,8187,0
ND,sioux,1491,0,1
NY,madison,15715,17674,0
NM,sandoval,18974,34477,1
TN,weakley,3320,5346,0
OH,montgomery,114463,75830,1
IN,miami,2443,13263,0
IN,newton,1807,671,0
NE,sherman,0,0,0
ND,stark,4995,23785,0
WV,pleasants,0,11738,0
TX,panola,7368,0,0
WA,whitman,9550,4783,1
NM,hidalgo,0,0,0
TX,ochiltree,2978,0,0
WV,nicholas,5941,5216,0
ND,divide,7282,6522,0
MT,garfield,0,0,0
VA,gloucester,11421,13177,0
VA,fauquier,21275,29686,0
OH,henry,2346,8724,0
TN,union,1790,2851,0
NE,deuel,0,2814,0
TX,gregg,29859,14278,0
MI,kent,133431,90152,1
VA,fairfax city,43911,25563,1
IN,elkhart,43517,32389,0
NY,new york,369268,222756,1
VA,giles,3684,8498,0
WI,polk,8761,8905,0
ND,bottineau,480,3167,0
WI,richland,3957,4305,0
IN,wabash,4632,13082,0
OH,champaign,6139,11675,0
UT,emery,0,0,0
MN,olmsted,45444,33216,1
MI,kalamazoo,54369,41348,1
MN,marshall,0,5004,0
TX,roberts,0,8777,0
TN,trousdale,2768,0,0
TX,kleberg,0,14203,1
PA,blair,25440,27325,0
FL,hernando,38793,35828,0
WA,kitsap,56697,50898,1
OH,franklin,263964,164072,1
TX,cass,7060,0,0
VT,chittenden,42883,37586,1
OH,butler,80671,62513,1
NE,franklin,0,1646,0
MD,cecil,23679,28074,0
NY,yates,4336,11000,0
